region,1,2,3,4,5,total-number-of-establishments
East Midlands,350,393,1827,3746,31837,38153
East of England,407,461,2113,5873,38225,47079
London,1539,1949,6364,12758,47451,70061
North East,133,241,903,2323,16958,20558
North West,993,1144,3875,8113,42473,56598
Northern Ireland,62,115,566,1843,12755,15341
South East,722,770,3199,8650,56639,69980
South West,401,319,1726,4889,38595,45930
Wales,406,401,1976,4989,22589,30361
West Midlands,926,789,2883,6207,31760,42565
Yorkshire and The Humber,541,595,2241,6226,34093,43696
